Year;Age;F;M;Both
2017;2;0,000136;0,000193;0,000165
2017;3;0,000067;0,000161;0,000115
2017;4;0,000132;0,000095;0,000113
2017;5;0,000163;0,000062;0,000111
2017;6;0,000064;0,000091;0,000078
2017;7;0,000031;0,000059;0,000046
2017;8;0,000063;0;0,00003
2017;9;0,000032;0,00006;0,000047
2017;10;0;0,000092;0,000047
2017;11;0,000032;0,000062;0,000048
2017;12;0,000065;0,000125;0,000096
2017;13;0,000164;0;0,00008
2017;14;0,000199;0,000095;0,000146
2017;15;0,000099;0,000221;0,000162
2017;16;0,000161;0,000303;0,000234
2017;17;0,000252;0,000176;0,000213
2017;18;0,000126;0,000264;0,000198
2017;19;0,000126;0,000556;0,000348
2017;20;0,000123;0,0006;0,00037
2017;21;0,000183;0,000566;0,000381
2017;22;0,000182;0,000991;0,000601
2017;23;0,00018;0,000479;0,000334
2017;24;0,000088;0,000635;0,00037
2017;25;0,000256;0,000404;0,000332
2017;26;0,000248;0,000582;0,000418
2017;27;0,000271;0,000788;0,000534
2017;28;0,00019;0,000605;0,000401
2017;29;0,000358;0,000349;0,000353
2017;30;0,000394;0,000461;0,000428
2017;31;0,000172;0,00084;0,000515
2017;32;0,000173;0,000576;0,00038
2017;33;0,00038;0,000467;0,000425
2017;34;0,000293;0,000875;0,000594
2017;35;0,000498;0,000416;0,000456
2017;36;0,000236;0,000694;0,000472
2017;37;0,000354;0,000774;0,000571
2017;38;0,000538;0,000866;0,000707
2017;39;0,000637;0,000824;0,000734
2017;40;0,000364;0,000854;0,000617
2017;41;0,000797;0,000835;0,000816
2017;42;0,000853;0,000973;0,000915
2017;43;0,00081;0,001055;0,000936
2017;44;0,00055;0,001086;0,000826
2017;45;0,000862;0,001022;0,000944
2017;46;0,001082;0,001439;0,001265
2017;47;0,001186;0,001612;0,001404
2017;48;0,0011;0,001477;0,001294
2017;49;0,001557;0,002206;0,00189
2017;50;0,001115;0,00221;0,001679
2017;51;0,001981;0,002416;0,002205
2017;52;0,001582;0,002705;0,00216
2017;53;0,001886;0,003113;0,002514
2017;54;0,003012;0,003084;0,003049
2017;55;0,002556;0,003328;0,002951
2017;56;0,002717;0,003598;0,003167
2017;57;0,00328;0,00487;0,004093
2017;58;0,003164;0,005319;0,004262
2017;59;0,003169;0,006329;0,00477
2017;60;0,004089;0,006091;0,005099
2017;61;0,004092;0,006523;0,005316
2017;62;0,004934;0,006726;0,005833
2017;63;0,005291;0,008913;0,007102
2017;64;0,00563;0,008799;0,007214
2017;65;0,006734;0,009678;0,008213
2017;66;0,00772;0,011738;0,009739
2017;67;0,0081;0,01292;0,010512
2017;68;0,009339;0,013761;0,01155
2017;69;0,010295;0,015372;0,01282
2017;70;0,011633;0,015699;0,01364
2017;71;0,012916;0,017602;0,015216
2017;72;0,01431;0,02068;0,017422
2017;73;0,016816;0,02247;0,019569
2017;74;0,018172;0,023202;0,020592
2017;75;0,020612;0,027161;0,023715
2017;76;0,021325;0,028419;0,024647
2017;77;0,024007;0,034875;0,02904
2017;78;0,026971;0,043237;0,034406
2017;79;0,029171;0,045895;0,036717
2017;80;0,036603;0,051669;0,043296
2017;81;0,041886;0,060485;0,049972
2017;82;0,042534;0,06556;0,05234
2017;83;0,047081;0,073099;0,058016
2017;84;0,060292;0,085629;0,070698
2017;85;0,06754;0,094559;0,078264
2017;86;0,079739;0,111147;0,091855
2017;87;0,090705;0,120257;0,101788
2017;88;0,099797;0,131868;0,111308
2017;89;0,124185;0,15162;0,133708
2017;90;0,134558;0,178741;0,149397
2017;91;0,154157;0,179769;0,162442
2017;92;0,16557;0,222713;0,183244
2017;93;0,18522;0,22892;0,197537
2017;94;0,219076;0,242948;0,225354
2017;95;0,255161;0,286605;0,262671
2017;96;0,25659;0,327748;0,272354
2017;97;0,276564;0,316108;0,284816
2017;98;0,290653;0,351762;0,303136
2017;99;0,311861;0,3816;0,32556
2017;100;0,338335;0,397726;0,34884
2017;101;0,402986;0,426669;0,406725
2017;102;0,343644;0,221199;0,32512
2017;103;0,340168;0,35882;0,343229
2017;104;0,402701;0,264859;0,385393
2017;105;0,45594;0;0,404598
2017;106;1;1;1
