Gender;Transtition;dist;mean1;mean2;cov_r1c1;cov_r1c2;cov_r2c1;cov_r2c2;age_start;age_end;survival_function_starting_age
Both;N_OW;lnorm;3,219574;0,192554026;0,00028316;0,00012708;0,00012708;0,00009131;2;12;2
Both;OW_OB1;lnorm;3,304646;0,35033358;0,00191279;0,00074124;0,00074124;0,00052004;2;12;2
Both;OB1_OB2;lnorm;3,390083;0,480750672;0,0138768;0,00480169;0,00480169;0,00348027;2;12;2
Both;OW_N;lnorm;1,540178;-0,063511529;0,00015901;0,00004353;0,00004353;0,00008498;2;12;2
Both;OB1_OW;lnorm;1,274161;-0,096836394;0,00083206;-0,00002777;-0,00002777;0,00040936;2;12;2
Both;OB2_OB1;lnorm;1,315029;-0,096836394;0,00318685;-0,00068409;-0,00068409;0,00139264;2;12;2
Both;N_OW;weibull;-6,300367;2,108795;0,05147929;-0,00882148;-0,00882148;0,00155058;12;20;12
Both;OW_OB1;weibull;-4,892853;1,664643;0,16084003;-0,03246246;-0,03246246;0,00666565;12;20;12
Both;OB1_OB2;gompertz;-3,491762;0,0770528;0,12020003;-0,0092299;-0,0092299;0,00076332;12;20;12
Both;OW_N;gompertz;-1,545184;-0,3160773;0,0334234;-0,00451234;-0,00451234;0,00082574;12;20;12
Both;OB1_OW;gompertz;-1,526383;-0,3742993;0,34949951;-0,05310792;-0,05310792;0,00997852;12;20;12
Both;OB2_OB1;gompertz;-1,079182;-0,2725337;0,28836637;-0,0254899;-0,0254899;0,00421574;12;20;12
Both;N_OW;loglogistic;3,065286;0,4820046;0,009602604;-0,0000526;-0,0000526;0,00007762;20;100;19
Both;OW_OB1;loglogistic;3,484911;0,663981;0,0002667;-0,00016669;-0,00016669;0,0002052;20;100;19
Both;OB1_OB2;gompertz;-3,341011;-0,01655;0,00231464;-0,00005962;-0,00005962;0,000001803;20;100;19
Both;OW_N;gompertz;-6,560138;0,0388585;0,00466545;-0,0001043;-0,0001043;0,000002507;20;100;19
Both;OB1_OW;gompertz;-6,040143;0,0408889;0,01093821;-0,00023723;-0,00023723;0,000005457;20;100;19
Both;OB2_OB1;gompertz;-4,991964;0,0255526;0,02775505;-0,00064044;-0,00064044;0,00001597;20;100;19
